galaxy,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),"Intergalactic Development Index (IDI), Rank",Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),"Unemployment, total (% of labour force)",Labour force participation rate (% ages 15 and older),Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,Renewable energy consumption (% of total final energy consumption),Domestic credit provided by financial sector (% of GGP),Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),Gender Development Index (GDI),Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),y,diff - Life expectancy at birth,diff - Mortality rate,diff - Labour force participation rate (% ages 15 and older),diff - Mean years of education,diff - Expected years of education,diff - Estimated gross galactic income per capita,diff - Population with at least some secondary education,diff - Intergalactic Development Index (IDI),"diff - Intergalactic Development Index (IDI), Rank","Population, ages 15–64 (rate)","Population, ages 65 and older (rate)","Population, under age 5 (rate)"
Large Magellanic Cloud (LMC),990025.0,0.6286569225799827,63.12520024218674,27109.23430962398,0.6460394658724056,8.240542718817482,3.829059638891829,161.36133226276974,38.30548296698158,681.8410858029862,22.131436298848527,12.403812411218553,174.61789935026104,2.7522826339198825,6.618458339987058,79.61406648540054,76.56975516664939,73.16635397950337,38.04575820428589,2.0201658993092013,22.342917957248208,16.16787135614628,8.223562669896403,21158.32486457829,7760.639488873206,13.617992665944588,94.85930634414957,15.658582178242431,8.436392493312395,118.43463350937715,75.60479895439714,42.61628438377289,10.538927393838133,808751.829222214,71.35948731709482,371.03826657435457,55.6710111545444,30.428765421076363,5.8790508451677965,0.9272716904137436,25.028916506440567,4.731379176234019,28.822232287930216,0.05258977109572517,-12.79718512716326,34.8189846796418,12.779943788796473,0.8666595285251024,0.5444626130729876,9990.84118121774,1.4644933240198197,0.10797365219283207,-11.160120327116074,0.7192972242719212,0.08817535566547535,0.06749113703678865
Camelopardalis B,990025.0,0.8180821669333752,81.00499445290778,30166.79395752572,0.852246418111155,10.671823175590916,4.742469612040644,152.52219807136362,36.25555899728235,423.97308899455663,89.29418079738413,13.054897740807679,109.89238489741457,2.5465746094447828,13.791648009011796,63.813719598730145,58.249806502555025,35.5903710447684,26.02038001696063,2.2415850633090986,26.52833562627311,36.63951927165285,21.007338635646885,24984.04439144524,6969.137436344892,19.48482996350748,77.93510772038017,13.059983258301687,12.549351256910713,53.75352532669773,57.214150220422155,29.90842224231765,6.225945766345018,813469.3656671077,120.88608019122805,270.3542413020496,50.98388451441404,35.855731184712326,6.749749753584468,0.9007916950118724,19.177925995435146,4.8725312009378605,22.785017608949968,0.05986803016773545,-6.878400151674683,155.06413758010734,48.04428807450405,1.0027239717120517,1.6804942675076244,15277.746355397901,-1.1275762615685068,0.07489924682971544,-6.740017763135676,1.322130391523875,0.13815264161850668,0.09474176796895155
Virgo I,990025.0,0.6594431792430047,59.57053361328088,8441.707352734524,0.4997615467338031,8.840315870706373,5.583972505170536,209.8132663794321,18.093991086585408,285.5722073379073,57.49108328471461,15.963000883848055,230.57366602396962,2.426958913433781,11.951464665599074,80.87414913652852,78.57328488259093,48.892554726715275,52.30864110873835,2.0390850860210263,26.4602163484702,31.958514915574256,18.95443446092768,19860.12152027061,3276.634176142517,13.357158221139036,87.50861950721844,17.19477148177211,13.949733273820256,126.06369147477331,76.14173455836591,18.732049187334688,4.138114797956422,803140.584424325,96.62683140742071,715.0401979870967,44.31264420322256,29.04486884146603,6.8973149556009625,0.8155242873697088,21.151265462190143,6.534020024536549,32.96065565849871,0.05044906218785139,0.3101201464018928,67.33320217933897,19.823544703818797,0.23538110894009456,-0.15463602930256393,8826.827314596116,11.5218884510235,0.14829737541274524,3.0710192420917917,1.9435100715264393,0.15084975388537433,0.3189864606079876
UGC 8651 (DDO 181),990025.0,0.5558616483658992,52.333292798488856,21887.819938803896,0.6006287254882231,8.751487813468154,8.673660598546542,230.67829179567696,18.24529500854418,327.2022468741811,47.78545610068693,12.940990677352767,198.97132836431717,2.556694897178472,19.059961049445835,84.72188207075615,77.27233923276107,65.91951477911992,47.80107785570529,1.7464858021658696,32.74368630864017,59.46973250874879,43.925764994218234,17668.490503937213,6282.213657015668,13.253055015428197,129.8999992927193,37.15068228544138,16.641130733391584,71.22194441448671,90.04868751171472,18.431081393542797,12.95814704939739,131388.57340932344,88.78082632698073,338.6143456817245,57.53083986413511,34.69785178920747,7.788242035215774,0.9564265468933222,18.283016371235345,5.912194171622969,26.729042602645503,0.04939424843578112,-4.395571950057317,114.32160734350447,4.281706571375921,1.3500757174049605,1.995122089094392,2562.5251570730293,8.737610559639007,0.09026503223478381,2.817443724886108,2.3435282325979014,0.15683991447894322,0.2833962561277
Tucana Dwarf,990025.0,0.9911963516222488,81.80246409253282,81033.956905855,1.1311626710507172,13.800671847399773,13.1889065731494,71.88534508867454,34.49746840203567,633.7997179520603,103.56262878873969,25.521925648544467,61.00865439664047,2.9424675034152403,7.713725740445909,61.08614115410613,64.56706880561688,60.369971256338474,49.82483429940838,2.5689770800881315,15.53893292544635,29.577375025968013,11.134866730710304,75156.04940603251,8957.403969476874,57.263444981127975,241.9013566238793,30.088331897652182,15.090820104435927,39.192276539093186,232.26747001144696,31.39839347458669,10.26446201997935,804583.9429610226,111.68812311261196,213.8676882466716,131.23549188715606,60.350381574264915,8.930140287748204,1.0673826393384442,33.94692209174997,5.61175288516984,-154.05682214784963,0.15424698544491255,0.3128065312892545,63.51819285319533,10.384996887265999,0.2927666054987128,-0.9385996615723752,50538.009980479226,-1.7488587691037054,0.029722394527207017,1.5106301275820497,0.9236905410433642,0.08860536309969853,0.11280189641702519
KKh 060,990025.0,0.8246916776838236,63.887135442126215,28409.06269508108,0.6716973611784668,14.062458149103108,9.978597143232502,121.83969609213486,31.219117875205068,821.7109062433093,54.30551544543678,12.001111955826659,170.1753220568554,2.5118736126365557,23.7724844126937,69.85400908991124,59.33761702303667,25.304899961039272,54.840630677192614,2.293087765267106,42.48905062229787,40.627624573087004,17.179595371335743,22301.0771956998,5067.505526425454,11.543267574942687,132.41475872121077,28.63441560809915,8.868365363746081,57.569840156454724,99.51782031430872,26.641394129509372,8.382952286750632,807466.6823254263,133.54132880713144,578.7904061097198,53.30986144316464,24.329353375963127,11.88865989493378,1.0335114193806132,40.11869861043997,3.9811047527288617,21.012897251633557,0.05287066836840537,-18.202424735810496,34.8797861771792,5.282769617174921,0.04938457134250385,0.06325888671936397,13673.714989955297,29.496897644214904,0.018251904130662112,7.028130767077574,0.4782969447900779,0.09711602771193592,0.030828711694378324
Grus II,990025.0,0.6574574612261578,68.55532621940627,25648.328826756293,0.7456738966364279,15.434546442429767,10.02178628912784,149.56707483636592,21.99465677582517,855.7475042017144,82.04461418964587,14.49443400554044,168.4502963836751,2.5750157057705247,9.775143073072002,84.9697188394219,81.5670358602713,77.53662706109874,50.58726431082185,2.2653375066736974,22.770288571976923,63.57845398955172,44.474849186304105,19047.283703732868,7931.241810094862,10.046557008422932,86.6750861668491,25.79211368915967,12.45916503251668,57.856647974705666,70.64135272819505,20.30205151385721,5.993099127528797,802445.9558209674,112.31690513572259,414.77935317417,67.03052460767046,25.09629069646847,6.698413964328267,0.9789239376573398,12.984995704110212,4.320539363861398,18.26371767518152,0.052780248160849814,-3.2275899394266077,138.27410837775335,35.426423580222924,1.5875815751943225,-0.0421495721302062,10627.38774277339,17.188671828310213,0.013648757215788822,20.10514276543926,0.6315954747487493,0.093302871313725,0.0750970720140145
UGCA 292,990025.0,0.9510431193329276,75.69339655989981,20935.541512963733,0.9479611079596084,14.86287976386702,8.788885088012126,128.61181052860462,46.580048826235114,999.8272022043905,78.37972999505016,15.810461997906325,157.86167896084504,3.583819164166237,17.47617641681194,57.382150914574005,57.335322769785925,127.49700195554963,46.185096712627896,2.7519266870618715,44.10807190943851,54.578196752173916,8.862979922601754,29232.820511593418,4033.2856762622478,-5.266100932269703,126.8851200518654,27.140051348398266,15.158401896353812,41.30809163846031,174.38186911923398,40.159992881774905,5.355283329124936,787591.5547127626,134.27916623729539,216.34784232862881,52.590716567731725,25.050096508731016,8.732200438267341,1.0339583766819485,35.92956973029192,4.191899116934291,25.355377639436607,0.06265202442315343,-14.120792442092437,90.66384429150213,23.639816756118385,0.1617108029878925,-0.7807024129484628,17934.71170521095,-3.319069843069777,0.02520672527453804,7.575260953505597,0.19553352223809548,0.038987270976469986,0.08730144802011373
Aquarius II,990025.0,0.6574015114814443,61.337084285421064,18231.029378480824,0.8263770660995636,15.173325066619785,6.941814664579402,168.48702853299338,20.36322596648531,468.6892826928299,85.30888834202219,9.186092008641973,151.59823926864843,2.5715694172282038,22.497283293071575,79.53007676196086,66.80240549368358,89.40411837773783,56.921534377701825,2.0828277024883635,41.19551537869809,35.7833481378906,23.517874873859853,23416.984644718897,4492.548225817749,18.317198048869265,131.96530118488386,21.458846312665266,40.900954326414094,92.11443010129648,86.50211790900771,25.09618126433666,8.76948831820888,800038.8616415455,139.02224922688234,642.1715687466276,60.107426599753104,26.744365093116123,5.1439833964983,0.9768601111339136,-4.709357176420449,6.1518015622517686,17.450204490043813,0.05392714068299398,-0.7316849213927767,52.91658775970183,-13.334978777313822,5.047654815352176,4.760883688063894,11148.17560151154,30.04819536271998,0.009370597363791013,10.873636232338631,1.1956258820003438,0.10349852646555127,0.19312581518696043
Andromeda XI,990025.0,0.657180131451062,62.55492927934279,16196.125655485568,0.6790963580279352,12.937281130154949,6.529241525640284,154.0987865541206,21.78250205049348,913.5881728056858,47.231396355964186,18.682559164536727,102.56838424284912,2.5402757998370755,16.28538244512282,78.87934834969575,67.28320318409436,28.69031727103506,73.7662059858453,2.1671247570598595,38.398150443324624,77.94989830521477,44.390164157322644,34280.135664189715,5779.1225777467225,16.29409684931819,89.48660617334272,20.363973595536297,10.6214383804616,109.23883933962162,109.098158632161,21.815648063659673,13.147006908035209,787603.2424678917,121.1130448257462,405.5477385187424,50.032692156801176,28.43001115281525,9.567717007165411,0.945253180336874,8.731994049906593,6.68440069208572,25.79910270055565,0.05058821118683099,-7.964204119008734,67.93128398462318,3.7719994657453384,1.569477323971645,0.7993429277785754,9796.959392438874,-1.7768155165999744,0.033195598430699746,-6.323867655179621,0.5079496936219445,0.045408335732461655,0.07852730593572572
